booking_id,customer_id,status,check_in,check_out,no_of_rooms,hotel_id,amount,discount,date_of_booking,hotel_city,No_of_days,Room_rate
61,36787,Cancelled,1/7/2017,1/8/2017,1,128,3379,858,1/6/2017,Bangalore,1,3379
62,83841,Cancelled,1/5/2017,1/8/2017,1,128,12281,3117,1/5/2017,Bangalore,3,12281
63,101925,Cancelled,1/6/2017,1/8/2017,1,128,8577,2177,1/3/2017,Bangalore,2,8577
64,17746,Cancelled,1/5/2017,1/6/2017,1,128,4289,1089,1/3/2017,Bangalore,1,4289
65,103003,Cancelled,2/28/2017,3/1/2017,1,402,2469,523,1/26/2017,Bangalore,1,2469
66,68240,Stayed,1/24/2017,1/25/2017,1,402,1754,446,1/23/2017,Bangalore,1,1754
67,69750,Stayed,1/21/2017,1/22/2017,1,250,2664,563,1/21/2017,Bangalore,1,2664
68,50628,Cancelled,1/18/2017,1/19/2017,1,250,2079,0,1/18/2017,Bangalore,1,2079
69,13402,Stayed,1/9/2017,1/11/2017,1,846,5717,1451,1/7/2017,Bangalore,2,5717
70,31960,Cancelled,2/7/2017,2/9/2017,1,107,7797,1979,1/25/2017,Bangalore,2,7797
71,35729,Stayed,1/18/2017,1/19/2017,1,107,3249,825,1/18/2017,Bangalore,1,3249
72,117605,Stayed,1/16/2017,1/17/2017,1,107,2989,633,1/16/2017,Bangalore,1,2989
73,119500,Stayed,1/17/2017,1/19/2017,1,583,4677,990,1/16/2017,Bangalore,2,4677
74,62595,Cancelled,1/17/2017,1/18/2017,2,583,5327,1128,1/13/2017,Bangalore,1,2663.5
75,71800,Stayed,1/6/2017,1/9/2017,1,583,6104,1291,1/5/2017,Bangalore,3,6104
76,107105,Cancelled,1/6/2017,1/7/2017,1,583,2274,578,1/5/2017,Bangalore,1,2274
77,37423,Stayed,2/3/2017,2/4/2017,1,245,2101,444,1/31/2017,Bangalore,1,2101
78,128513,Stayed,1/26/2017,1/27/2017,1,245,2284,580,1/21/2017,Bangalore,1,2284
79,190136,Stayed,1/25/2017,1/27/2017,1,245,4131,1048,1/23/2017,Bangalore,2,4131
80,78626,Cancelled,1/28/2017,2/3/2017,1,245,12667,2680,1/26/2017,Bangalore,6,12667
81,8873,Cancelled,1/26/2017,1/28/2017,1,245,6620,1400,1/12/2017,Bangalore,2,6620
82,57801,Cancelled,1/6/2017,1/7/2017,1,245,2977,756,1/6/2017,Bangalore,1,2977
83,16015,Stayed,1/2/2017,1/3/2017,1,245,2005,425,1/2/2017,Bangalore,1,2005
84,117378,Stayed,1/24/2017,1/25/2017,1,56,3704,783,1/18/2017,Bangalore,1,3704
85,32390,Cancelled,1/24/2017,1/25/2017,1,56,3314,701,1/23/2017,Bangalore,1,3314
86,15775,Stayed,1/19/2017,1/20/2017,1,56,3704,941,1/16/2017,Bangalore,1,3704
87,85555,Cancelled,1/18/2017,1/19/2017,1,56,3314,701,1/18/2017,Bangalore,1,3314
88,34633,Stayed,1/24/2017,1/26/2017,1,382,6562,1665,1/23/2017,Bangalore,2,6562
89,35354,Stayed,1/30/2017,2/2/2017,1,944,7180,1519,1/30/2017,Bangalore,3,7180
90,137573,Cancelled,1/27/2017,1/28/2017,1,944,2023,428,1/27/2017,Bangalore,1,2023
91,13793,Cancelled,1/27/2017,1/28/2017,1,944,2509,531,1/27/2017,Bangalore,1,2509
92,38109,Stayed,1/17/2017,1/18/2017,2,944,3461,733,1/17/2017,Bangalore,1,1730.5
93,106210,Stayed,1/15/2017,1/16/2017,1,944,1702,360,1/15/2017,Bangalore,1,1702
94,195339,Cancelled,1/27/2017,1/30/2017,2,944,21212,5385,1/13/2017,Bangalore,3,10606
95,91702,Cancelled,1/5/2017,1/6/2017,1,944,1745,370,1/5/2017,Bangalore,1,1745
96,46373,Cancelled,2/1/2017,2/2/2017,1,86,1594,338,1/31/2017,Bangalore,1,1594
97,47963,Cancelled,3/5/2017,3/8/2017,1,86,9859,2086,1/11/2017,Bangalore,3,9859
98,35610,Cancelled,3/11/2017,3/14/2017,1,86,9859,2086,1/11/2017,Bangalore,3,9859
99,191775,Stayed,1/26/2017,1/28/2017,1,86,4488,1140,1/25/2017,Bangalore,2,4488
100,47942,Stayed,1/16/2017,1/20/2017,1,86,10587,2240,1/9/2017,Bangalore,4,10587
101,115548,Stayed,1/18/2017,1/19/2017,1,86,2102,444,1/18/2017,Bangalore,1,2102
102,49619,Stayed,1/18/2017,1/19/2017,1,86,2050,520,1/18/2017,Bangalore,1,2050
103,12023,Cancelled,1/25/2017,1/26/2017,1,86,1606,340,1/23/2017,Bangalore,1,1606
104,72648,Stayed,1/13/2017,1/14/2017,1,837,3444,728,1/13/2017,Bangalore,1,3444
105,67726,Stayed,1/20/2017,1/25/2017,1,161,7371,1560,1/20/2017,Bangalore,5,7371
106,33288,Cancelled,1/25/2017,1/30/2017,1,161,8964,1896,1/23/2017,Bangalore,5,8964
107,197674,Stayed,1/22/2017,1/23/2017,1,161,1594,338,1/20/2017,Bangalore,1,1594
108,92482,Cancelled,1/23/2017,1/24/2017,1,161,2088,460,1/22/2017,Bangalore,1,2088
109,133399,Stayed,1/2/2017,1/3/2017,1,938,2469,523,1/2/2017,Bangalore,1,2469
110,65660,Stayed,1/7/2017,1/8/2017,1,475,1457,370,1/7/2017,Bangalore,1,1457
111,71338,Stayed,1/11/2017,1/13/2017,1,248,5717,1210,1/10/2017,Bangalore,2,5717
112,112913,Stayed,1/27/2017,1/30/2017,1,760,13256,2916,1/24/2017,Bangalore,3,13256
113,82881,Stayed,1/21/2017,1/22/2017,1,760,2209,468,1/21/2017,Bangalore,1,2209
114,77179,Cancelled,2/11/2017,2/19/2017,1,597,22870,5031,1/25/2017,Bangalore,8,22870
115,155955,No Show,1/21/2017,1/22/2017,1,597,3205,678,1/19/2017,Bangalore,1,3205
116,76850,Stayed,1/19/2017,1/20/2017,1,597,2796,592,1/18/2017,Bangalore,1,2796
117,42304,Stayed,1/15/2017,1/19/2017,1,597,10270,2173,1/14/2017,Bangalore,4,10270
118,109973,Stayed,1/16/2017,1/17/2017,1,597,2555,540,1/16/2017,Bangalore,1,2555
119,79360,Cancelled,1/19/2017,1/20/2017,1,597,2664,563,1/7/2017,Bangalore,1,2664
120,197635,Cancelled,1/6/2017,1/7/2017,1,597,2729,693,1/6/2017,Bangalore,1,2729
121,95113,Stayed,1/30/2017,1/31/2017,1,154,2339,495,1/30/2017,Bangalore,1,2339
122,11342,Cancelled,1/24/2017,1/25/2017,1,154,1212,308,1/24/2017,Bangalore,1,1212
123,163441,Stayed,1/19/2017,1/20/2017,1,154,1884,398,1/19/2017,Bangalore,1,1884
124,6989,Cancelled,1/19/2017,1/20/2017,1,154,2534,558,1/9/2017,Bangalore,1,2534
125,195788,No Show,2/3/2017,2/4/2017,1,84,1819,385,1/30/2017,Bangalore,1,1819
126,26072,Stayed,1/26/2017,1/27/2017,1,84,2794,591,1/25/2017,Bangalore,1,2794
127,192648,No Show,1/25/2017,1/26/2017,1,84,2729,578,1/21/2017,Bangalore,1,2729
128,9197,Stayed,1/19/2017,1/20/2017,1,84,2209,468,1/19/2017,Bangalore,1,2209
129,97775,Stayed,1/17/2017,1/18/2017,1,84,2079,440,1/17/2017,Bangalore,1,2079
130,43374,Stayed,1/16/2017,1/17/2017,1,84,2079,440,1/12/2017,Bangalore,1,2079
131,137492,Stayed,1/16/2017,1/17/2017,1,84,1689,372,1/16/2017,Bangalore,1,1689
132,67129,Stayed,1/15/2017,1/16/2017,1,84,1819,462,1/5/2017,Bangalore,1,1819
133,140961,No Show,1/6/2017,1/9/2017,1,84,5456,0,1/5/2017,Bangalore,3,5456
134,100962,Stayed,1/27/2017,1/29/2017,1,894,6627,1682,1/5/2017,Bangalore,2,6627
135,8240,Stayed,1/7/2017,1/8/2017,1,894,2794,710,1/4/2017,Bangalore,1,2794
136,137438,Cancelled,1/27/2017,1/29/2017,1,894,5847,1238,1/5/2017,Bangalore,2,5847
137,87218,Stayed,1/31/2017,2/1/2017,1,612,1949,413,1/29/2017,Bangalore,1,1949
138,53022,Stayed,1/12/2017,1/13/2017,1,612,2339,495,1/10/2017,Bangalore,1,2339
139,33193,Stayed,1/11/2017,1/12/2017,1,612,2599,660,1/9/2017,Bangalore,1,2599
140,171363,Stayed,1/26/2017,1/27/2017,1,251,2469,523,1/25/2017,Bangalore,1,2469
141,85876,Cancelled,1/26/2017,1/27/2017,1,251,2794,591,1/24/2017,Bangalore,1,2794
142,154952,Stayed,1/23/2017,1/24/2017,1,251,2404,508,1/23/2017,Bangalore,1,2404
143,189029,Stayed,1/25/2017,1/29/2017,1,975,9292,2044,1/24/2017,Bangalore,4,9292
144,197267,Stayed,1/25/2017,1/26/2017,1,975,1689,372,1/24/2017,Bangalore,1,1689
145,100627,Stayed,1/20/2017,1/25/2017,1,975,10719,2358,1/17/2017,Bangalore,5,10719
146,139720,Stayed,1/17/2017,1/21/2017,1,975,7145,1572,1/16/2017,Bangalore,4,7145
147,150865,Stayed,1/18/2017,1/19/2017,1,975,2100,462,1/9/2017,Bangalore,1,2100
148,166969,Stayed,1/22/2017,1/23/2017,1,83,2404,508,1/22/2017,Bangalore,1,2404
149,29563,Stayed,1/29/2017,2/2/2017,1,409,26255,5554,1/1/2017,Bangalore,4,26255
150,21667,Stayed,2/13/2017,2/15/2017,1,106,6627,1403,1/13/2017,Bangalore,2,6627
151,54558,Stayed,1/13/2017,1/14/2017,1,106,2469,523,1/13/2017,Bangalore,1,2469
152,160575,Stayed,1/9/2017,1/13/2017,1,106,9027,2291,1/8/2017,Bangalore,4,9027
153,177755,Stayed,1/2/2017,1/6/2017,1,106,11887,2515,1/1/2017,Bangalore,4,11887
154,137078,Cancelled,1/22/2017,1/23/2017,1,874,1884,479,1/22/2017,Bangalore,1,1884
155,14687,Stayed,1/9/2017,1/10/2017,1,874,1104,281,1/9/2017,Bangalore,1,1104
156,61768,Cancelled,1/26/2017,1/29/2017,1,244,7406,1566,1/24/2017,Bangalore,3,7406
157,181249,Cancelled,1/22/2017,1/23/2017,1,244,2209,561,1/21/2017,Bangalore,1,2209
158,139865,Cancelled,1/5/2017,1/6/2017,1,244,2079,528,1/4/2017,Bangalore,1,2079
159,119565,Stayed,1/3/2017,1/4/2017,1,244,2209,561,1/3/2017,Bangalore,1,2209
160,29684,Stayed,1/23/2017,1/25/2017,1,408,3897,857,1/22/2017,Bangalore,2,3897
161,6513,Stayed,1/6/2017,1/9/2017,1,408,6626,1682,1/5/2017,Bangalore,3,6626
162,183919,Stayed,1/26/2017,1/28/2017,1,554,5067,1073,1/26/2017,Bangalore,2,5067
163,162144,Cancelled,1/26/2017,1/29/2017,1,554,7925,1676,1/24/2017,Bangalore,3,7925
164,188854,Stayed,1/19/2017,1/20/2017,1,554,2209,468,1/17/2017,Bangalore,1,2209
165,72807,Stayed,1/15/2017,1/16/2017,1,554,2209,468,1/15/2017,Bangalore,1,2209
166,121464,No Show,1/8/2017,1/9/2017,1,554,2014,512,1/7/2017,Bangalore,1,2014
167,78264,Stayed,1/23/2017,1/25/2017,1,353,3897,857,1/23/2017,Bangalore,2,3897
168,143969,Stayed,1/21/2017,1/22/2017,1,353,2534,536,1/21/2017,Bangalore,1,2534
169,119466,Cancelled,1/30/2017,1/31/2017,1,757,3336,706,1/29/2017,Bangalore,1,3336
170,94377,Cancelled,1/14/2017,1/15/2017,1,757,3137,796,1/1/2017,Bangalore,1,3137
171,112615,Cancelled,1/16/2017,1/17/2017,1,757,3137,663,1/1/2017,Bangalore,1,3137
172,133250,Stayed,1/7/2017,1/8/2017,1,757,3101,788,1/6/2017,Bangalore,1,3101
173,69769,Stayed,1/6/2017,1/7/2017,2,757,6201,1574,1/5/2017,Bangalore,1,3100.5
174,159675,Cancelled,1/8/2017,1/9/2017,1,757,3000,761,1/6/2017,Bangalore,1,3000
175,21016,Stayed,1/31/2017,2/1/2017,1,820,2079,440,1/31/2017,Chennai,1,2079
176,194263,Stayed,1/24/2017,1/25/2017,1,820,2339,495,1/24/2017,Chennai,1,2339
177,189124,Stayed,1/17/2017,1/18/2017,1,820,2339,495,1/17/2017,Chennai,1,2339
178,7701,Stayed,3/8/2017,3/12/2017,1,691,7618,1612,1/27/2017,Chennai,4,7618
179,152290,Stayed,1/31/2017,2/1/2017,1,691,2391,607,1/31/2017,Chennai,1,2391
180,18979,Cancelled,2/2/2017,2/3/2017,1,691,2094,443,1/31/2017,Chennai,1,2094
181,34712,Stayed,1/31/2017,2/13/2017,1,691,28882,6109,1/30/2017,Chennai,13,28882
182,19531,Cancelled,1/31/2017,2/1/2017,1,691,2391,506,1/31/2017,Chennai,1,2391
183,107631,Cancelled,1/30/2017,2/1/2017,2,691,6698,1474,1/30/2017,Chennai,2,3349
184,163562,Cancelled,1/21/2017,1/24/2017,12,691,83538,18379,1/18/2017,Chennai,3,6961.5
185,73708,No Show,1/11/2017,1/12/2017,1,691,1856,0,1/11/2017,Chennai,1,1856
186,40182,Stayed,1/6/2017,1/7/2017,1,691,1563,331,1/6/2017,Chennai,1,1563
187,85715,Stayed,1/5/2017,1/6/2017,1,691,2648,672,1/5/2017,Chennai,1,2648
188,172006,Stayed,1/9/2017,1/10/2017,1,691,1859,472,1/8/2017,Chennai,1,1859
189,159422,Stayed,1/14/2017,1/28/2017,1,280,25644,5425,1/9/2017,Chennai,14,25644
190,128921,Stayed,1/27/2017,1/28/2017,1,280,1832,387,1/6/2017,Chennai,1,1832
191,134918,Cancelled,1/28/2017,1/29/2017,1,280,1832,387,1/6/2017,Chennai,1,1832
192,29885,Stayed,1/26/2017,1/27/2017,1,280,1832,387,1/3/2017,Chennai,1,1832
193,24613,Cancelled,1/30/2017,2/4/2017,1,978,29049,6145,1/29/2017,Chennai,5,29049
194,64956,Stayed,1/22/2017,1/23/2017,1,633,3964,0,1/21/2017,Chennai,1,3964
195,182461,Cancelled,1/8/2017,1/9/2017,1,633,4289,1089,1/5/2017,Chennai,1,4289
196,2162,Cancelled,1/8/2017,1/9/2017,1,888,3379,858,1/5/2017,Chennai,1,3379
197,33978,Cancelled,1/20/2017,1/22/2017,1,888,5912,1300,1/20/2017,Chennai,2,5912
198,7412,Cancelled,1/20/2017,1/22/2017,1,888,6627,1458,1/15/2017,Chennai,2,6627
199,60319,Cancelled,1/22/2017,1/23/2017,1,699,4484,1898,1/21/2017,Chennai,1,4484
200,12255,Cancelled,1/20/2017,1/21/2017,1,699,4029,853,1/18/2017,Chennai,1,4029
201,3585,Stayed,2/27/2017,3/3/2017,1,627,6776,1433,1/25/2017,Chennai,4,6776
202,182493,Stayed,1/10/2017,1/12/2017,1,627,3224,846,1/9/2017,Chennai,2,3224
203,100201,Stayed,1/31/2017,2/1/2017,1,219,1689,358,1/30/2017,Chennai,1,1689
204,160469,Cancelled,1/4/2017,1/5/2017,1,219,2209,561,1/4/2017,Chennai,1,2209
205,8760,Cancelled,1/7/2017,1/8/2017,1,637,2339,594,1/5/2017,Chennai,1,2339
206,82622,Stayed,1/19/2017,1/20/2017,1,635,1949,413,1/19/2017,Chennai,1,1949
207,85562,Stayed,1/9/2017,1/10/2017,1,635,1754,446,1/9/2017,Chennai,1,1754
208,5049,Stayed,1/27/2017,1/28/2017,1,635,2209,468,1/27/2017,Chennai,1,2209
209,165056,Cancelled,1/21/2017,1/22/2017,1,635,2209,468,1/21/2017,Chennai,1,2209
210,75870,Stayed,1/11/2017,1/12/2017,1,635,1754,371,1/11/2017,Chennai,1,1754
211,184360,Cancelled,1/31/2017,2/2/2017,1,359,4742,1043,1/25/2017,Chennai,2,4742
212,62184,Stayed,1/19/2017,1/20/2017,1,359,1819,385,1/19/2017,Chennai,1,1819
213,19017,Stayed,1/28/2017,1/29/2017,1,842,2205,485,1/28/2017,Chennai,1,2205
214,15445,Cancelled,1/28/2017,1/29/2017,1,842,2014,443,1/28/2017,Chennai,1,2014
215,14120,Stayed,1/25/2017,1/26/2017,1,220,1429,303,1/25/2017,Chennai,1,1429
216,143338,Cancelled,1/31/2017,2/1/2017,1,299,2664,563,1/30/2017,Delhi,1,2664
217,48615,Stayed,1/28/2017,1/29/2017,1,299,3444,728,1/28/2017,Delhi,1,3444
218,34654,Stayed,1/28/2017,1/29/2017,1,299,3769,798,1/28/2017,Delhi,1,3769
219,53976,Stayed,1/27/2017,1/28/2017,1,299,2924,618,1/27/2017,Delhi,1,2924
220,189707,Cancelled,1/28/2017,1/29/2017,1,299,4484,948,1/25/2017,Delhi,1,4484
221,56630,Cancelled,1/28/2017,1/29/2017,1,299,5134,1086,1/24/2017,Delhi,1,5134
222,158276,Stayed,1/31/2017,2/1/2017,1,299,2664,586,1/31/2017,Delhi,1,2664
223,112633,Stayed,1/15/2017,1/17/2017,1,299,6497,1429,1/14/2017,Delhi,2,6497
224,27204,Cancelled,1/17/2017,1/18/2017,1,299,3249,688,1/16/2017,Delhi,1,3249
225,88939,Stayed,1/16/2017,1/17/2017,1,299,2924,743,1/16/2017,Delhi,1,2924
226,114763,Stayed,1/14/2017,1/15/2017,1,299,3509,743,1/14/2017,Delhi,1,3509
227,83896,Cancelled,1/15/2017,1/16/2017,1,299,3249,825,1/15/2017,Delhi,1,3249
228,68866,Cancelled,1/14/2017,1/15/2017,1,299,3509,772,1/11/2017,Delhi,1,3509
229,186429,Cancelled,1/12/2017,1/13/2017,1,299,2924,618,1/12/2017,Delhi,1,2924
230,9198,Stayed,1/20/2017,1/21/2017,1,299,3054,776,1/19/2017,Delhi,1,3054
231,123932,Stayed,1/16/2017,1/18/2017,1,299,5977,1265,1/16/2017,Delhi,2,5977
232,15767,Cancelled,1/4/2017,1/5/2017,1,299,3639,924,1/3/2017,Delhi,1,3639
233,7971,Stayed,1/30/2017,1/31/2017,1,315,3576,787,1/30/2017,Delhi,1,3576
234,13209,Stayed,1/30/2017,1/31/2017,1,315,2426,514,1/30/2017,Delhi,1,2426
235,172055,Stayed,1/30/2017,1/31/2017,1,315,3110,658,1/30/2017,Delhi,1,3110
236,56558,Cancelled,1/30/2017,1/31/2017,2,315,6219,1316,1/30/2017,Delhi,1,3109.5
237,66097,Stayed,1/24/2017,1/25/2017,1,315,3054,646,1/23/2017,Delhi,1,3054
238,134413,Stayed,1/18/2017,1/19/2017,1,315,3119,660,1/15/2017,Delhi,1,3119
239,171359,Stayed,1/11/2017,1/12/2017,1,315,3509,743,1/11/2017,Delhi,1,3509
240,111098,No Show,1/10/2017,1/11/2017,2,315,6237,1583,1/10/2017,Delhi,1,3118.5
241,33359,Stayed,1/9/2017,1/10/2017,1,315,3639,924,1/7/2017,Delhi,1,3639
242,84259,Stayed,1/8/2017,1/9/2017,1,315,3639,924,1/8/2017,Delhi,1,3639
243,195741,Cancelled,1/17/2017,1/18/2017,1,315,3054,646,1/17/2017,Delhi,1,3054
244,60460,Stayed,1/3/2017,1/4/2017,1,315,3704,941,1/2/2017,Delhi,1,3704
245,60557,Stayed,1/21/2017,1/22/2017,1,309,2599,550,1/20/2017,Delhi,1,2599
246,114013,Cancelled,1/11/2017,1/12/2017,1,309,2599,660,1/9/2017,Delhi,1,2599
247,90625,Stayed,1/23/2017,1/24/2017,1,557,2079,440,1/23/2017,Delhi,1,2079
248,137366,Cancelled,1/16/2017,1/17/2017,1,557,2989,633,1/16/2017,Delhi,1,2989
249,126313,Stayed,1/5/2017,1/6/2017,1,557,2989,759,1/5/2017,Delhi,1,2989
250,92904,Stayed,1/11/2017,1/12/2017,1,557,3574,756,1/10/2017,Delhi,1,3574
251,193742,Stayed,1/10/2017,1/11/2017,1,557,2664,677,1/10/2017,Delhi,1,2664
252,30671,Cancelled,1/28/2017,1/29/2017,1,132,4679,990,1/20/2017,Delhi,1,4679
253,45412,Stayed,1/25/2017,1/26/2017,1,132,3899,825,1/25/2017,Delhi,1,3899
254,63032,Cancelled,1/26/2017,1/28/2017,1,132,10787,2738,1/25/2017,Delhi,2,10787
255,128226,Stayed,1/8/2017,1/9/2017,1,132,3509,921,1/7/2017,Delhi,1,3509
256,189468,Stayed,1/26/2017,1/27/2017,1,883,3588,759,1/22/2017,Delhi,1,3588
257,2827,Stayed,1/24/2017,1/25/2017,1,883,3588,759,1/22/2017,Delhi,1,3588
258,119314,Stayed,1/24/2017,1/25/2017,1,883,3588,759,1/24/2017,Delhi,1,3588
259,38803,Cancelled,1/21/2017,1/22/2017,1,883,4399,931,1/21/2017,Delhi,1,4399
260,153421,Stayed,1/14/2017,1/15/2017,1,883,3752,794,1/14/2017,Delhi,1,3752
261,65796,Stayed,1/10/2017,1/11/2017,1,883,2102,534,1/10/2017,Delhi,1,2102
262,77837,Cancelled,1/10/2017,1/11/2017,1,883,1620,425,1/10/2017,Delhi,1,1620
263,20154,Stayed,1/19/2017,1/20/2017,1,883,2253,476,1/19/2017,Delhi,1,2253
264,15300,Stayed,1/17/2017,1/18/2017,1,565,4354,921,1/17/2017,Delhi,1,4354
265,130844,Stayed,1/19/2017,1/20/2017,1,31,4159,880,1/19/2017,Delhi,1,4159
266,74653,Stayed,1/18/2017,1/19/2017,1,31,3899,825,1/16/2017,Delhi,1,3899
267,23913,Cancelled,1/16/2017,1/18/2017,1,31,9747,2474,1/12/2017,Delhi,2,9747
268,82702,Stayed,1/10/2017,1/11/2017,1,31,4159,1056,1/10/2017,Delhi,1,4159
269,124801,Stayed,1/15/2017,1/16/2017,1,884,4874,1073,1/13/2017,Delhi,1,4874
270,98338,Cancelled,1/20/2017,1/21/2017,1,884,4744,1003,1/7/2017,Delhi,1,4744
